frame_id,is_frame_allowed,is_item_scan_event,objects_in_scene,object_in_roi,time_taken
0,True,False,[],,2128
1,True,False,[],,18
2,True,False,[],,17
3,True,False,[],,17
4,True,False,[],,16
5,True,False,[],,16
6,True,False,[],,16
7,True,False,[],,16
8,True,False,['bed'],,98
9,True,False,['bed'],,16
10,True,False,['bed'],,39
11,True,False,['bed'],,17
12,True,False,[],,15
13,True,False,[],,16
14,True,False,[],,16
15,True,False,[],,16
16,True,False,[],,15
17,True,False,[],,16
18,True,False,[],,16
19,True,False,['bed'],,15
20,True,False,['bed'],,16
21,True,False,['bed'  'bottle'],,16
22,True,False,['bottle'  'bed'],,17
23,True,False,['bed'],,16
24,True,False,['bed'],,14
25,True,False,['bed'],,15
26,True,False,['bed'],,15
27,True,False,['bed'],,14
28,True,False,[],,20
29,True,False,[],,17
30,True,False,['bed'],,15
31,True,False,[],,15
32,True,False,[],,14
33,True,False,['bed'  'cell phone'],,15
34,True,False,['cell phone'  'bed'  'bottle'],,16
35,True,False,['bottle'],,14
36,True,False,['bottle'  'cell phone'  'book'],,15
37,True,False,['cell phone'],,15
38,True,False,['cell phone'],,16
39,True,False,['cell phone'],,15
40,True,False,['cell phone'],,15
41,True,False,['chair'],,15
42,True,False,['remote'  'laptop'  'chair'  'bottle'],,23
43,True,False,['cell phone'  'remote'],,17
44,True,False,['cell phone'  'remote'  'cell phone'  'laptop'  'chair'  'chair'],,16
45,True,False,['laptop'  'remote'],,18
46,True,False,['laptop'],,17
47,True,False,['laptop'],,16
48,True,False,['laptop'],,15
49,True,False,['laptop'],,16
50,True,False,['suitcase'],,16
51,True,False,['bottle'],bottle,18
52,True,False,['bottle'],bottle,17
53,True,False,['bottle'],bottle,19
54,True,False,['bottle'],bottle,18
55,True,False,['bottle'  'remote'],bottle,17
56,True,False,['cell phone'],,16
